,symbol,name,price,exchange
388,ENDP,Endo International PLC,6.03,Nasdaq Global Select
389,ATI,Allegheny Technologies Inc,24.04,New York Stock Exchange
390,IAG,Iamgold Corp,3.26,New York Stock Exchange
391,VFC,VF Corp,89.32,New York Stock Exchange
392,BDN,Brandywine Realty Trust,13.51,New York Stock Exchange
393,HON,Honeywell International Inc,222.87,New York Stock Exchange
394,YNDX,Yandex NV,64.96,Nasdaq Global Select
395,GOOGL,Alphabet Inc,2359.04,Nasdaq Global Select
396,ICE,Intercontinental Exchange Inc,119.07,New York Stock Exchange
397,OMER,Omeros Corp,17.99,Nasdaq Global Market
398,WY,Weyerhaeuser Co,39.77,New York Stock Exchange
399,HEFA,iShares Currency Hedged MSCI EAFE,33.53,BATS Exchange
400,BLL,Ball Corp,91.35,New York Stock Exchange
401,CGNX,Cognex Corp,87.91,Nasdaq Global Select
402,AMGN,Amgen Inc,236.71,Nasdaq Global Select
403,FSLR,First Solar Inc,88.7,Nasdaq Global Select
404,IVZ,Invesco Ltd,27.23,New York Stock Exchange
405,DG,Dollar General Corp,212.08,New York Stock Exchange
406,SID,Companhia Siderúrgica Nacional,9.53,New York Stock Exchange
407,SLM,SLM Corp,19.24,Nasdaq Global Select
408,SLCA,U.S. Silica Holdings Inc,13.08,New York Stock Exchange
409,SGU,Star Group LP,11.05,New York Stock Exchange
410,ODP,ODP Corp,39.67,Nasdaq Global Select
411,PK,Park Hotels & Resorts Inc,22.39,New York Stock Exchange
412,TLGT,Teligent Inc (NEW JERSEY),0.6255,Nasdaq Global Select
413,TOL,Toll Brothers Inc,62.69,New York Stock Exchange
414,PDCO,Patterson Companies Inc,32.73,Nasdaq Global Select
415,ITB,iShares U.S. Home Construction,73.18,BATS Exchange
416,Z,Zillow Group Inc.,135.87,Nasdaq Global Select
417,BCO,Brinks Co,77.93,New York Stock Exchange
418,CME,CME Group Inc,201.02,Nasdaq Global Select
419,BKD,Brookdale Senior Living Inc,6.44,New York Stock Exchange
420,PPBI,Pacific Premier Bancorp Inc,44.81,Nasdaq Global Select
421,AIV,Apartment Investment and Management Co,6.66,New York Stock Exchange
422,EXC,Exelon Corp,44.61,Nasdaq Global Select
423,TAP,Molson Coors Beverage Co,51.87,New York Stock Exchange
424,MON,Monsanto Company,9.72,New York Stock Exchange
425,UNP,Union Pacific Corp,226.19,New York Stock Exchange
426,IWD,iShares Russell 1000 Value,157.45,New York Stock Exchange Arca
427,BDX,Becton Dickinson and Co,257.51,New York Stock Exchange
428,GME,GameStop Corp,178.58,New York Stock Exchange
429,MX,MagnaChip Semiconductor Corp,25.43,New York Stock Exchange
